Date,Open,High,Low,Close,Adj Close,Volume
2020-07-01,15.790000,16.240000,13.720000,14.860000,10.372084,80494500
2020-08-01,14.920000,15.730000,13.770000,13.790000,9.625237,36035200
2020-09-01,13.850000,14.450000,12.910000,13.850000,9.667117,65469300
2020-10-01,13.850000,15.730000,13.530000,14.690000,10.253424,79518900
2020-11-01,14.800000,16.139999,13.900000,16.030001,11.265364,46550800
2020-12-01,16.000000,17.780001,14.700000,17.580000,12.354651,51125200
2021-01-01,17.600000,20.620001,16.150000,17.370001,12.207073,67686100
2021-02-01,17.580000,17.780001,15.970000,16.170000,11.429059,39572200
2021-03-01,16.250000,20.049999,16.170000,19.070000,13.478798,48130500
2021-04-01,19.000000,20.889999,17.730000,18.570000,13.125397,37812500
2021-05-01,18.639999,19.770000,17.879999,19.190001,13.634409,26428400
2021-06-01,19.299999,21.290001,18.840000,19.660000,13.968336,27725000
2021-07-01,19.870001,22.290001,19.049999,21.600000,15.346700,18269200
2021-08-01,21.680000,30.480000,21.320000,30.360001,21.678114,33297200
2021-09-01,30.510000,34.090000,29.469999,31.129999,22.227921,34358500
2021-10-01,31.110001,31.420000,26.700001,30.950001,22.099398,35025500
2021-11-01,31.010000,36.599998,30.514000,35.189999,25.227116,23653900
2021-12-01,35.400002,37.849998,29.135000,30.190001,21.642698,43720800
2022-01-01,30.190001,32.320000,26.270000,28.150000,20.180258,54815600
2022-02-01,28.000000,29.980000,27.490000,29.150000,20.985626,23362400
2022-03-01,30.370001,37.990002,30.000000,33.250000,23.937290,64707000
2022-04-01,33.500000,36.000000,30.600000,31.280001,22.519051,60521600
2022-05-01,31.450001,31.920000,26.510000,30.549999,22.075703,54497800
2022-06-01,30.820000,31.290001,26.010000,26.719999,19.308109,55609700
2022-07-01,26.809999,27.730000,25.889999,26.850000,19.402052,68608400
2022-08-01,26.850000,29.350000,26.410000,27.510000,19.969400,56921000
2022-09-01,27.400000,30.170000,24.340000,24.860001,18.045774,76706100
2022-10-01,25.000000,29.190001,20.049999,20.510000,14.888128,191728200
2022-11-01,20.600000,21.700001,20.299999,20.950001,20.372221,75910600
2022-12-01,21.010000,21.629999,20.430000,20.740000,20.168011,43704300
2023-01-01,20.809999,21.600000,20.650000,21.200001,20.615326,50573200
2023-02-01,21.129999,21.590000,19.840000,19.879999,19.441776,67906900
2023-03-01,19.799999,20.809999,19.139999,20.780001,20.321938,129205700
2023-04-01,20.860001,21.240000,20.410000,20.900000,20.439293,70217500
2023-05-01,20.980000,21.139999,19.879999,20.360001,20.026680,100111500
2023-06-01,20.260000,21.930000,20.025000,21.820000,21.462776,99368600
2023-07-01,21.790001,22.270000,21.180000,21.730000,21.374250,47805400
2023-08-01,21.730000,22.709999,21.469999,22.400000,22.153847,55672400
2023-09-01,22.450001,23.879999,22.370001,22.750000,22.500000,115564200
2023-10-01,22.709999,23.132999,21.620001,21.700001,21.461538,58645700
2023-11-01,21.750000,22.120001,20.840000,21.770000,21.650330,43480100
2023-12-01,21.809999,23.020000,21.695000,23.000000,22.873568,61861000
2024-01-01,22.900000,23.469999,21.065001,21.219999,21.103352,73593000
2024-02-01,21.250000,21.750000,20.000000,20.280001,20.280001,80269000
2024-03-01,20.299999,21.020000,19.990000,20.950001,20.950001,28949400
